-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=63, lr=0.000994, snr1=2.987 ,snr2=100.000 ,BS=4192 ,loss=0.182 ,BER=0.0207 ,num=1390
GBAF_new: Idx=64, lr=0.000994, snr1=2.987 ,snr2=100.000 ,BS=4192 ,loss=0.17 ,BER=0.0175 ,num=1171
GBAF_new: Idx=65, lr=0.000993, snr1=2.987 ,snr2=100.000 ,BS=4192 ,loss=0.167 ,BER=0.0176 ,num=1180
GBAF_new: Idx=66, lr=0.000993, snr1=2.987 ,snr2=100.000 ,BS=4192 ,loss=0.161 ,BER=0.0163 ,num=1094
GBAF_new: Idx=67, lr=0.000993, snr1=2.987 ,snr2=100.000 ,BS=4192 ,loss=0.155 ,BER=0.017 ,num=1138
GBAF_new: Idx=68, lr=0.000993, snr1=2.986 ,snr2=100.000 ,BS=4192 ,loss=0.146 ,BER=0.014 ,num=941
GBAF_new: Idx=69, lr=0.000993, snr1=2.986 ,snr2=100.000 ,BS=4192 ,loss=0.144 ,BER=0.0129 ,num=866
GBAF_new: Idx=70, lr=0.000993, snr1=2.986 ,snr2=100.000 ,BS=4192 ,loss=0.14 ,BER=0.0134 ,num=896
GBAF_new: Idx=71, lr=0.000993, snr1=2.986 ,snr2=100.000 ,BS=4192 ,loss=0.133 ,BER=0.0127 ,num=854
GBAF_new: Idx=72, lr=0.000993, snr1=2.986 ,snr2=100.000 ,BS=4192 ,loss=0.127 ,BER=0.0115 ,num=770
GBAF_new: Idx=73, lr=0.000993, snr1=2.985 ,snr2=100.000 ,BS=4192 ,loss=0.126 ,BER=0.0115 ,num=771
GBAF_new: Idx=74, lr=0.000993, snr1=2.985 ,snr2=100.000 ,BS=4192 ,loss=0.119 ,BER=0.00972 ,num=652
GBAF_new: Idx=75, lr=0.000992, snr1=2.985 ,snr2=100.000 ,BS=4192 ,loss=0.116 ,BER=0.0107 ,num=716
GBAF_new: Idx=76, lr=0.000992, snr1=2.985 ,snr2=100.000 ,BS=4192 ,loss=0.113 ,BER=0.00991 ,num=665
GBAF_new: Idx=77, lr=0.000992, snr1=2.985 ,snr2=100.000 ,BS=4192 ,loss=0.111 ,BER=0.0092 ,num=617
GBAF_new: Idx=78, lr=0.000992, snr1=2.984 ,snr2=100.000 ,BS=4192 ,loss=0.106 ,BER=0.00816 ,num=547
GBAF_new: Idx=79, lr=0.000992, snr1=2.984 ,snr2=100.000 ,BS=4192 ,loss=0.1 ,BER=0.00701 ,num=470
GBAF_new: Idx=80, lr=0.000992, snr1=2.984 ,snr2=100.000 ,BS=4192 ,loss=0.099 ,BER=0.00774 ,num=519
GBAF_new: Idx=81, lr=0.000992, snr1=2.984 ,snr2=100.000 ,BS=4192 ,loss=0.0971 ,BER=0.00759 ,num=509
GBAF_new: Idx=82, lr=0.000992, snr1=2.984 ,snr2=100.000 ,BS=4192 ,loss=0.0924 ,BER=0.00644 ,num=432
GBAF_new: Idx=83, lr=0.000992, snr1=2.983 ,snr2=100.000 ,BS=4192 ,loss=0.0909 ,BER=0.00702 ,num=471
GBAF_new: Idx=84, lr=0.000991, snr1=2.983 ,snr2=100.000 ,BS=4192 ,loss=0.0885 ,BER=0.00683 ,num=458
